Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
TPP1	CLN2, SCAR7	ENSG00000166340	Tripeptidyl peptidase I	11	6612763-6619461	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA037709, HPA044868	Supportive				Expressed in all			spleen: 123.4
TPSAB1	TPS1, TPS2, TPSB1	ENSG00000172236	Tryptase alpha/beta 1	16	1240696-1242554	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB016369, CAB022175, HPA049153, HPA049554	Supportive				Tissue enhanced	0	gallbladder: 130.2	lung: 106.6
TPSB2		ENSG00000197253	Tryptase beta 2 (gene/pseudogene)	16	1227272-1230184	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA049153, HPA049554	Supportive				Tissue enhanced	0	gallbladder: 114.2	lung: 93.4
TPSD1		ENSG00000095917	Tryptase delta 1	16	1256059-1258998	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB002215, CAB032871, HPA040182, HPA049554	Supportive				Tissue enhanced	0	lung: 7.5	stomach: 4.0
TPST1	TANGO13A	ENSG00000169902	Tyrosylprotein sulfotransferase 1	7	66205199-66420543	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA047415	Uncertain		Uncertain	Cytoplasm	Expressed in all			gallbladder: 39.0
TPST2	TANGO13B	ENSG00000128294	Tyrosylprotein sulfotransferase 2	22	26525492-26596717	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021054	Uncertain				Expressed in all			pancreas: 67.8
TRABD2A	C2orf89	ENSG00000186854	TraB domain containing 2A	2	84821650-84907008	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045817	Uncertain				Tissue enhanced	0	colon: 28.4;rectum: 32.3	ovary: 20.6
TRABD2B		ENSG00000269113	TraB domain containing 2B	1	47760528-47996895	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA045817	Uncertain				Tissue enhanced	0	kidney: 6.1	gallbladder: 1.7
TREH	MGC129621, TRE, TREA	ENSG00000118094	Trehalase (brush-border membrane glycoprotein)	11	118657316-118679690	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039913, HPA042045	Supportive				Group enriched	18	duodenum: 42.9;kidney: 11.4;small intestine: 51.0	gallbladder: 1.9
TREM1	CD354, TREM-1	ENSG00000124731	Triggering receptor expressed on myeloid cells 1	6	41267926-41286719	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA005563	Uncertain				Tissue enhanced	0	appendix: 38.6;bone marrow: 44.2;lung: 47.6	adipose tissue: 13.7
TREM2	TREM-2, Trem2a, Trem2b, Trem2c	ENSG00000095970	Triggering receptor expressed on myeloid cells 2	6	41158506-41163186	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA010917, HPA012571	Uncertain		Supportive	Vesicles	Tissue enhanced	0	cerebral cortex: 16.4	lung: 13.4
TRH		ENSG00000170893	Thyrotropin-releasing hormone	3	129974305-129977938	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035595, HPA035596	Supportive				Tissue enriched	6	endometrium: 15.0	fallopian tube: 2.3
TRIM24	hTIF1, RNF82, TIF1, Tif1a	ENSG00000122779	Tripartite motif containing 24	7	138460334-138589993	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA043495	Uncertain		Supportive	Nucleus	Expressed in all			ovary: 25.5
TRIM28	KAP1, PPP1R157, RNF96, TF1B, TIF1B	ENSG00000130726	Tripartite motif containing 28	19	58544091-58550722	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB010066, HPA064033	Supportive		Supportive	Nucleus but not nucleoli	Expressed in all			ovary: 150.1
TRIO	ARHGEF23	ENSG00000038382	Trio Rho guanine nucleotide exchange factor	5	14143702-14532128	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008157, HPA064664	Supportive		Uncertain	Cytoplasm, Vesicles	Expressed in all			adipose tissue: 17.8
TRNP1	C1orf225, LOC388610	ENSG00000253368	TMF1-regulated nuclear protein 1	1	26993707-27000898	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	stomach: 80.8	esophagus: 35.6
TSC22D4	THG-1, TILZ2	ENSG00000166925	TSC22 domain family, member 4	7	100463359-100479279	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006757	Uncertain				Expressed in all			cerebral cortex: 115.4
TSHB		ENSG00000134200	Thyroid stimulating hormone, beta	1	115029824-115034309	Predicted secreted proteins	Evidence at protein level	No evidence	Evidence at protein level							Not detected			endometrium: 0.2
TSHR	LGR3	ENSG00000165409	Thyroid stimulating hormone receptor	14	80954989-81146302	Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB000473, HPA026680	Uncertain				Tissue enriched	194	thyroid gland: 223.2	lymph node: 1.1
TSKU	E2IG4, LRRC54, TSK	ENSG00000182704	Tsukushi, small leucine rich proteoglycan	11	76782251-76798154	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA008164	Uncertain		Supportive	Nucleus	Mixed			liver: 74.2
TSLP		ENSG00000145777	Thymic stromal lymphopoietin	5	111070062-111078024	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	gallbladder: 8.9	liver: 6.9
TSPAN3	TM4-A, TM4SF8, TSPAN-3	ENSG00000140391	Tetraspanin 3	15	77041404-77083984	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA015996	Uncertain		Uncertain	Nucleus but not nucleoli, Golgi apparatus	Expressed in all			rectum: 330.2
TSPAN31	SAS	ENSG00000135452	Tetraspanin 31	12	57738013-57750211	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA057489	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm	Expressed in all			thyroid gland: 42.6
TSPEAR	C21orf29, DFNB98, MGC11251, TSP-EAR	ENSG00000175894	Thrombospondin-type laminin G domain and EAR repeats	21	44497892-44711580	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB034203, CAB034204	Uncertain				Tissue enhanced	0	testis: 1.2	skin: 0.7
TTC13	FLJ22584	ENSG00000143643	Tetratricopeptide repeat domain 13	1	230906243-230978875	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA018022, HPA051558	Uncertain		Uncertain	Nucleus but not nucleoli	Expressed in all			lymph node: 15.6
TTC19	FLJ20343, MGC19520	ENSG00000011295	Tetratricopeptide repeat domain 19	17	15999380-16045015	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023010, HPA052380	Supportive		Supportive	Mitochondria	Expressed in all			thyroid gland: 10.1
TTC9B	FLJ30373	ENSG00000174521	Tetratricopeptide repeat domain 9B	19	40216058-40218399	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA042496	Uncertain				Tissue enriched	51	cerebral cortex: 22.8	adrenal gland: 0.4
TTLL11	bA244O19.1, C9orf20	ENSG00000175764	Tubulin tyrosine ligase-like family, member 11	9	121821928-122093606	Cytoskeleton related proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA021828	Uncertain				Expressed in all			testis: 9.6
TTR	CTS, CTS1, HsT2651, PALB	ENSG00000118271	Transthyretin	18	31591726-31599021	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002517, HPA002550, CAB062567, CAB073406	Supportive		Uncertain	Golgi apparatus	Tissue enriched	16	liver: 4643.8	pancreas: 286.5
TWSG1	TSG	ENSG00000128791	Twisted gastrulation BMP signaling modulator 1	18	9334767-9402420	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014898	Uncertain		Uncertain	Centrosome, Cytoplasm	Expressed in all			smooth muscle: 71.5
TXNDC12	AGR1, ERP18, ERP19, hAG-1, PDIA16, TLP19	ENSG00000117862	Thioredoxin domain containing 12 (endoplasmic reticulum)	1	52020131-52056171	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015086	Uncertain				Expressed in all			fallopian tube: 32.5
TXNDC15	2310047H23Rik, C5orf14, FLJ22625	ENSG00000113621	Thioredoxin domain containing 15	5	134873803-134901525	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015483	Uncertain		Uncertain	Golgi apparatus	Expressed in all			thyroid gland: 42.8
TXNDC5	EndoPDI, ERp46, FLJ21353, FLJ90810, Hcc-2, MGC3178, PDIA15	ENSG00000239264	Thioredoxin domain containing 5 (endoplasmic reticulum)	6	7881517-7910814	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA034677, HPA034678	Supportive		Uncertain	Endoplasmic reticulum	Expressed in all			urinary bladder: 256.5
TXNRD2	TR, TR3, TRXR2	ENSG00000184470	Thioredoxin reductase 2	22	19875517-19941992	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level		Evidence at protein level	CAB002007, HPA003323	Supportive		Supportive	Mitochondria, Cytoplasm	Expressed in all			adrenal gland: 22.1
TYRP1	b-PROTEIN, CAS2, CATB, GP75, OCA3, TRP, TYRP	ENSG00000107165	Tyrosinase-related protein 1	9	12685439-12710290	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000937, CAB002520	Supportive				Group enriched	8	heart muscle: 34.0;skin: 103.3	esophagus: 8.3
UBAC2	FLJ30548, PHGDHL1, RP11-178C10.1	ENSG00000134882	UBA domain containing 2	13	99200774-99386434	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA013448	Uncertain		Uncertain	Cytoplasm	Expressed in all			thyroid gland: 23.0
UBALD1	FAM100A	ENSG00000153443	UBA-like domain containing 1	16	4608883-4615027	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA066771	Uncertain		Uncertain	Nucleus, Cytoplasm, Cell Junctions	Expressed in all			kidney: 13.4
UBAP2	bA176F3.5, FLJ22435, KIAA1491	ENSG00000137073	Ubiquitin associated protein 2	9	33921693-34048949	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA021684	Uncertain		Uncertain	Cytoplasm	Expressed in all			testis: 28.4
UBXN8	D8S2298E, REP8, UBXD6	ENSG00000104691	UBX domain protein 8	8	30732247-30767006	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Expressed in all			ovary: 37.3
UCMA	C10orf49	ENSG00000165623	Upper zone of growth plate and cartilage matrix associated	10	13221767-13234334	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046718	Uncertain				Tissue enhanced	0	ovary: 0.8	heart muscle: 0.3
UCN	UI, UROC	ENSG00000163794	Urocortin	2	27307400-27308445	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB010911	Uncertain				Mixed			spleen: 0.9
UCN2	SRP, UCN-II, UCNI, URP	ENSG00000145040	Urocortin 2	3	48561727-48563773	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA066841			Supportive	Vesicles	Tissue enriched	12	skin: 8.8	endometrium: 0.7
UCN3	SPC, UCNIII	ENSG00000178473	Urocortin 3	10	5365009-5374692	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA038281	Uncertain				Tissue enhanced	0	duodenum: 5.6;small intestine: 4.4	stomach: 2.8
UGGT2	FLJ10873, FLJ11485, HUGT2, MGC117360, MGC150689, MGC87276, UGCGL2	ENSG00000102595	UDP-glucose glycoprotein glucosyltransferase 2	13	95801580-96053482	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA047955	Uncertain				Mixed			testis: 11.8
